"filename", "language", "HTML", "Markdown", "TypeScript", "JSON", "Vue", "JSON with Comments", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\ContestEditChildren\AddContest.vue", "Vue", 0, 0, 0, 0, 237, 0, 0, 0, 11, 14, 262
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\ContestEditChildren\UpdateContest.vue", "Vue", 0, 0, 0, 0, 342, 0, 0, 0, 13, 15, 370
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\ListEdit.vue", "Vue", 0, 0, 0, 0, 67, 0, 0, 0, 0, 8, 75
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\ListEditChildren\AddList.vue", "Vue", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\ListEditChildren\UpdateList.vue", "Vue", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\ProblemEdit.vue", "Vue", 0, 0, 0, 0, 67, 0, 0, 0, 0, 8, 75
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\ProblemEditChildren\AddProblem.vue", "Vue", 0, 0, 0, 0, 152, 0, 0, 0, 0, 6, 158
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\ProblemEditChildren\UpdateProblem.vue", "Vue", 0, 0, 0, 0, 442, 0, 0, 0, 14, 19, 475
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\UserEdit.vue", "Vue", 0, 0, 0, 0, 74, 0, 0, 0, 0, 8, 82
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\UserEditChildren\AddUser.vue", "Vue", 0, 0, 0, 0, 143, 0, 0, 0, 1, 10, 154
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\UserEditChildren\BatchAddUser.vue", "Vue", 0, 0, 0, 0, 197, 0, 0, 0, 6, 21, 224
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\UserEditChildren\UpdateUser.vue", "Vue", 0, 0, 0, 0, 185, 0, 0, 0, 0, 14, 199
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Base\Bottom.vue", "Vue", 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Base\Login.vue", "Vue", 0, 0, 0, 0, 237, 0, 0, 0, 5, 19, 261
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Base\NavBar.vue", "Vue", 0, 0, 0, 0, 328, 0, 0, 0, 9, 33, 370
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Base\Signin.vue", "Vue", 0, 0, 0, 0, 342, 0, 0, 0, 4, 19, 365
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Code.vue", "Vue", 0, 0, 0, 0, 198, 0, 0, 0, 3, 16, 217
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Contest.vue", "Vue", 0, 0, 0, 0, 461, 0, 0, 0, 8, 34, 503
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\ContestRank.vue", "Vue", 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Main.vue", "Vue", 0, 0, 0, 0, 246, 0, 0, 0, 15, 26, 287
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\MyComponents\ActivityCalendar.vue", "Vue", 0, 0, 0, 0, 427, 0, 0, 0, 23, 18, 468
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Problem.vue", "Vue", 0, 0, 0, 0, 781, 0, 0, 0, 24, 47, 852
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\init.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 13, 9, 64
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\main.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\mountServerFunctions.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 2, 2, 17
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\pages\Admin.vue", "Vue", 0, 0, 0, 0, 200, 0, 0, 0, 13, 20, 233
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\pages\Contests.vue", "Vue", 0, 0, 0, 0, 338, 0, 0, 0, 11, 25, 374
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\pages\Home.vue", "Vue", 0, 0, 0, 0, 56, 0, 0, 0, 3, 5, 64
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\pages\ProblemList.vue", "Vue", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\pages\Problems.vue", "Vue", 0, 0, 0, 0, 347, 0, 0, 0, 16, 29, 392
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\pages\Status.vue", "Vue", 0, 0, 0, 0, 226, 0, 0, 0, 11, 17, 254
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\pages\UserCenter.vue", "Vue", 0, 0, 0, 0, 607, 0, 0, 0, 14, 37, 658
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\router\index.ts", "TypeScript", 0, 0, 164, 0, 0, 0, 0, 0, 1, 4, 169
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\store\config.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\store\constVal.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 4, 6, 46
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\store\index.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\store\themeSwitch.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 2, 2, 36
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\store\userData.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 5, 5, 72
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\utils\aceBuildsFactory.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 1, 3, 33
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\utils\axios.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 5, 5, 63
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\utils\codeProcessor.ts", "TypeScript", 0, 0, 102, 0, 0, 0, 0, 0, 0, 2, 104
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\utils\elLoadingFactory.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\utils\elMessageFactory.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\utils\elNotificationFactory.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\utils\globalFunctions.ts", "TypeScript", 0, 0, 231, 0, 0, 0, 0, 0, 17, 14, 262
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\utils\useCurrentInstance.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\vite-env.d.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\tsconfig.node.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\vite.config.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 1, 2, 19
"Total", "-", 21, 9, 899, 14402, 6986, 19, 3, 252, 269, 638, 23498
